0 0 True
0 1 True
0 2 True
0 3 True
0 4 True
0 5 True
0 6 True
0 7 True
0 8 True
0 9 True
0 10 True
0 11 True
0 12 True
0 13 True
0 14 True
0 15 True
0 16 True
0 17 True
0 18 True
0 19 True
0 20 True
0 21 True
0 22 True
0 23 True
0 24 True
0 25 True
0 26 True
0 27 True
0 28 True
0 29 True
0 30 True
0 31 True
0 32 True
0 33 True
0 34 True
0 35 True
0 36 True
0 37 True
0 38 True
0 39 True
0 40 True
0 41 True
0 42 True
0 43 True
0 44 True
0 45 True
0 46 True
0 47 True
0 48 True
0 49 True
1 0 True
1 1 True
1 2 True
1 3 True
1 4 True
1 5 True
1 6 True
1 7 True
1 8 True
1 9 True
1 10 True
1 11 True
1 12 True
1 13 True
1 14 True
1 15 True
1 16 True
1 17 True
1 18 True
1 19 True
1 20 True
1 21 True
1 22 True
1 23 True
1 24 True
1 25 True
1 26 True
1 27 True
1 28 True
1 29 True
1 30 True
1 31 True
1 32 True
1 33 True
1 34 True
1 35 True
1 36 True
1 37 True
1 38 True
1 39 True
1 40 True
1 41 True
1 42 True
1 43 True
1 44 True
1 45 True
1 46 True
1 47 True
1 48 True
1 49 True
2 0 True
2 1 True
2 2 True
2 3 True
2 4 True
2 5 True
2 6 True
2 7 True
2 8 True
2 9 True
2 10 True
2 11 True
2 12 True
2 13 True
2 14 True
2 15 True
2 16 True
2 17 True
2 18 True
2 19 True
2 20 True
2 21 True
2 22 True
2 23 True
2 24 True
2 25 True
2 26 True
2 27 True
2 28 True
2 29 True
2 30 True
2 31 True
2 32 True
2 33 True
2 34 True
2 35 True
2 36 True
2 37 True
2 38 True
2 39 True
2 40 True
2 41 True
2 42 True
2 43 True
2 44 True
2 45 True
2 46 True
2 47 True
2 48 True
2 49 True
3 0 True
3 1 True
3 2 True
3 3 True
3 4 True
3 5 True
3 6 True
3 7 True
3 8 True
3 9 True
3 10 True
3 11 True
3 12 True
3 13 True
3 14 True
3 15 True
3 16 True
3 17 True
3 18 True
3 19 True
3 20 True
3 21 True
3 22 True
3 23 True
3 24 True
3 25 True
3 26 True
3 27 True
3 28 True
3 29 True
3 30 True
3 31 True
3 32 True
3 33 True
3 34 True
3 35 True
3 36 True
3 37 True
3 38 True
3 39 True
3 40 True
3 41 True
3 42 True
3 43 True
3 44 True
3 45 True
3 46 True
3 47 True
3 48 True
3 49 True
4 0 True
4 1 True
4 2 True
4 3 True
4 4 True
4 5 True
4 6 True
4 7 True
4 8 True
4 9 True
4 10 True
4 11 True
4 12 True
4 13 True
4 14 True
4 15 True
4 16 True
4 17 True
4 18 True
4 19 True
4 20 True
4 21 True
4 22 True
4 23 True
4 24 True
4 25 True
4 26 True
4 27 True
4 28 True
4 29 True
4 30 True
4 31 True
4 32 True
4 33 True
4 34 True
4 35 True
4 36 True
4 37 True
4 38 True
4 39 True
4 40 True
4 41 True
4 42 True
4 43 True
4 44 True
4 45 True
4 46 True
4 47 True
4 48 True
4 49 True
5 0 True
5 1 True
5 2 True
5 3 True
5 4 True
5 5 True
5 6 True
5 7 True
5 8 True
5 9 True
5 10 True
5 11 True
5 12 True
5 13 True
5 14 True
5 15 True
5 16 True
5 17 True
5 18 True
5 19 True
5 20 True
5 21 True
5 22 True
5 23 True
5 24 True
5 25 True
5 26 True
5 27 True
5 28 True
5 29 True
5 30 True
5 31 True
5 32 True
5 33 True
5 34 True
5 35 True
5 36 True
5 37 True
5 38 True
5 39 True
5 40 True
5 41 True
5 42 True
5 43 True
5 44 True
5 45 True
5 46 True
5 47 True
5 48 True
5 49 True
6 0 True
6 1 True
6 2 True
6 3 True
6 4 True
6 5 True
6 6 True
6 7 True
6 8 True
6 9 True
6 10 True
6 11 True
6 12 True
